index	block_id	route_kind	shape_family	legal_states	texture_layout	texture_sheet	counterpart
179	rechiseledcreate:rose_quartz_polished_block	forced-disconnected-tile0	full	1	full	rechiseledcreate:block/rose_quartz_polished_block	rechiseledcreate:rose_quartz_polished_block_connecting
180	rechiseledcreate:rose_quartz_polished_block_connecting	predicate-connected	full	1	full	rechiseledcreate:block/rose_quartz_polished_block	rechiseledcreate:rose_quartz_polished_block
181	rechiseledcreate:rose_quartz_squares	forced-disconnected-tile0	full	1	full	rechiseledcreate:block/rose_quartz_squares	rechiseledcreate:rose_quartz_squares_connecting
182	rechiseledcreate:rose_quartz_squares_connecting	predicate-connected	full	1	full	rechiseledcreate:block/rose_quartz_squares	rechiseledcreate:rose_quartz_squares
183	rechiseledcreate:rose_quartz_tiles_connecting	predicate-connected	full	1	full	rechiseledcreate:block/rose_quartz_tiles	-
184	rechiseledcreate:scorchia_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/scorchia_cut_polished	-
185	rechiseledcreate:scorchia_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/scorchia_cut_polished	-
186	rechiseledcreate:scorchia_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/scorchia_cut_polished	-
187	rechiseledcreate:scorchia_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/scorchia_cut_small_brick	-
188	rechiseledcreate:scorchia_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/scorchia_cut_small_brick	-
189	rechiseledcreate:scorchia_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/scorchia_cut_small_brick	-
190	rechiseledcreate:scoria_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/scoria_cut_polished	-
191	rechiseledcreate:scoria_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/scoria_cut_polished	-
192	rechiseledcreate:scoria_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/scoria_cut_polished	-
193	rechiseledcreate:scoria_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/scoria_cut_small_brick	-
194	rechiseledcreate:scoria_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/scoria_cut_small_brick	-
195	rechiseledcreate:scoria_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/scoria_cut_small_brick	-
196	rechiseledcreate:spruce_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_bars_side	rechiseledcreate:spruce_window_bars_connecting
197	rechiseledcreate:spruce_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_bars_side	rechiseledcreate:spruce_window_bars
198	rechiseledcreate:spruce_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_covered_side	rechiseledcreate:spruce_window_covered_connecting
199	rechiseledcreate:spruce_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_covered_side	rechiseledcreate:spruce_window_covered
200	rechiseledcreate:spruce_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_diagonal_side	rechiseledcreate:spruce_window_diagonal_connecting
201	rechiseledcreate:spruce_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_diagonal_side	rechiseledcreate:spruce_window_diagonal
202	rechiseledcreate:spruce_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_large_side	rechiseledcreate:spruce_window_large_connecting
203	rechiseledcreate:spruce_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_large_side	rechiseledcreate:spruce_window_large
204	rechiseledcreate:spruce_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_panes_side	rechiseledcreate:spruce_window_panes_connecting
205	rechiseledcreate:spruce_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_panes_side	rechiseledcreate:spruce_window_panes
206	rechiseledcreate:spruce_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_rounded_side	rechiseledcreate:spruce_window_rounded_connecting
207	rechiseledcreate:spruce_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_rounded_side	rechiseledcreate:spruce_window_rounded
208	rechiseledcreate:spruce_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_slim_side	rechiseledcreate:spruce_window_slim_connecting
209	rechiseledcreate:spruce_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_slim_side	rechiseledcreate:spruce_window_slim
210	rechiseledcreate:spruce_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/spruce_window_swirling_side	rechiseledcreate:spruce_window_swirling_connecting
211	rechiseledcreate:spruce_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/spruce_window_swirling_side	rechiseledcreate:spruce_window_swirling
212	rechiseledcreate:spruce_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/spruce_window_tiles_side	rechiseledcreate:spruce_window_tiles_connecting
213	rechiseledcreate:spruce_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/spruce_window_tiles_side	rechiseledcreate:spruce_window_tiles
214	rechiseledcreate:tuff_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/tuff_cut_polished	-
215	rechiseledcreate:tuff_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/tuff_cut_polished	-
216	rechiseledcreate:tuff_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/tuff_cut_polished	-
217	rechiseledcreate:tuff_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/tuff_cut_small_brick	-
218	rechiseledcreate:tuff_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/tuff_cut_small_brick	-
219	rechiseledcreate:tuff_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/tuff_cut_small_brick	-
220	rechiseledcreate:veridium_cut_polished_connecting	predicate-connected	full	1	full	rechiseledcreate:block/veridium_cut_polished	-
221	rechiseledcreate:veridium_cut_polished_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/veridium_cut_polished	-
222	rechiseledcreate:veridium_cut_polished_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/veridium_cut_polished	-
223	rechiseledcreate:veridium_cut_small_brick_connecting	predicate-connected	full	1	full	rechiseledcreate:block/veridium_cut_small_brick	-
224	rechiseledcreate:veridium_cut_small_brick_slab_connecting	predicate-connected	slab	6	full	rechiseledcreate:block/veridium_cut_small_brick	-
225	rechiseledcreate:veridium_cut_small_brick_stairs_connecting	predicate-connected	stairs	80	full	rechiseledcreate:block/veridium_cut_small_brick	-
226	rechiseledcreate:warped_window_bars	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_bars_side	rechiseledcreate:warped_window_bars_connecting
227	rechiseledcreate:warped_window_bars_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_bars_side	rechiseledcreate:warped_window_bars
228	rechiseledcreate:warped_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_covered_side	rechiseledcreate:warped_window_covered_connecting
229	rechiseledcreate:warped_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_covered_side	rechiseledcreate:warped_window_covered
230	rechiseledcreate:warped_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_diagonal_side	rechiseledcreate:warped_window_diagonal_connecting
231	rechiseledcreate:warped_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_diagonal_side	rechiseledcreate:warped_window_diagonal
232	rechiseledcreate:warped_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_large_side	rechiseledcreate:warped_window_large_connecting
233	rechiseledcreate:warped_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_large_side	rechiseledcreate:warped_window_large
234	rechiseledcreate:warped_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_panes_side	rechiseledcreate:warped_window_panes_connecting
235	rechiseledcreate:warped_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_panes_side	rechiseledcreate:warped_window_panes
236	rechiseledcreate:warped_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_rounded_side	rechiseledcreate:warped_window_rounded_connecting
237	rechiseledcreate:warped_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_rounded_side	rechiseledcreate:warped_window_rounded
238	rechiseledcreate:warped_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/warped_window_slim_side	rechiseledcreate:warped_window_slim_connecting
239	rechiseledcreate:warped_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/warped_window_slim_side	rechiseledcreate:warped_window_slim
240	rechiseledcreate:warped_window_tiles	forced-disconnected-tile0	axis	3	full	rechiseledcreate:block/warped_window_tiles_side	rechiseledcreate:warped_window_tiles_connecting
241	rechiseledcreate:warped_window_tiles_connecting	predicate-connected	axis	3	full	rechiseledcreate:block/warped_window_tiles_side	rechiseledcreate:warped_window_tiles
