index	case_id	section	x	y	z	placements	notes
256	mask-simple-top	layout-mask	168	100	210	2	canonical SIMPLE UP-face mask 0x01
257	mask-simple-right	layout-mask	174	100	210	2	canonical SIMPLE UP-face mask 0x04
258	mask-simple-bottom	layout-mask	180	100	210	2	canonical SIMPLE UP-face mask 0x10
259	mask-simple-left	layout-mask	186	100	210	2	canonical SIMPLE UP-face mask 0x40
260	mask-simple-top-right	layout-mask	192	100	210	3	canonical SIMPLE UP-face mask 0x05
261	mask-simple-top-bottom	layout-mask	198	100	210	3	canonical SIMPLE UP-face mask 0x11
262	mask-simple-left-right	layout-mask	162	100	216	3	canonical SIMPLE UP-face mask 0x44
263	mask-simple-cardinals	layout-mask	168	100	216	5	canonical SIMPLE UP-face mask 0x55
264	mask-simple-one-diagonal	layout-mask	174	100	216	6	canonical SIMPLE UP-face mask 0x57
265	mask-simple-mask-dd	layout-mask	180	100	216	7	canonical SIMPLE UP-face mask 0xdd
266	mask-simple-full-edge47	layout-mask	186	100	216	8	canonical SIMPLE UP-face mask 0x7f
267	mask-simple-full-edge46	layout-mask	192	100	216	8	canonical SIMPLE UP-face mask 0xfd
268	mask-simple-all	layout-mask	198	100	216	9	canonical SIMPLE UP-face mask 0xff
269	slab-bottom-waterlogged-false	slab-state	238	100	162	1	all six legal representative slab states
270	slab-bottom-waterlogged-true	slab-state	242	100	162	1	all six legal representative slab states
271	slab-double-waterlogged-false	slab-state	246	100	162	1	all six legal representative slab states
272	slab-double-waterlogged-true	slab-state	238	100	166	1	all six legal representative slab states
273	slab-top-waterlogged-false	slab-state	242	100	166	1	all six legal representative slab states
274	slab-top-waterlogged-true	slab-state	246	100	166	1	all six legal representative slab states
275	stairs-east-bottom-inner_left-waterlogged-false	stairs-state	162	100	224	2	all 80 legal targets; non-straight topology has support first
276	stairs-east-bottom-inner_left-waterlogged-true	stairs-state	166	100	224	2	all 80 legal targets; non-straight topology has support first
277	stairs-east-bottom-inner_right-waterlogged-false	stairs-state	170	100	224	2	all 80 legal targets; non-straight topology has support first
278	stairs-east-bottom-inner_right-waterlogged-true	stairs-state	174	100	224	2	all 80 legal targets; non-straight topology has support first
279	stairs-east-bottom-outer_left-waterlogged-false	stairs-state	178	100	224	2	all 80 legal targets; non-straight topology has support first
280	stairs-east-bottom-outer_left-waterlogged-true	stairs-state	182	100	224	2	all 80 legal targets; non-straight topology has support first
281	stairs-east-bottom-outer_right-waterlogged-false	stairs-state	186	100	224	2	all 80 legal targets; non-straight topology has support first
282	stairs-east-bottom-outer_right-waterlogged-true	stairs-state	190	100	224	2	all 80 legal targets; non-straight topology has support first
283	stairs-east-bottom-straight-waterlogged-false	stairs-state	194	100	224	1	all 80 legal targets; non-straight topology has support first
284	stairs-east-bottom-straight-waterlogged-true	stairs-state	198	100	224	1	all 80 legal targets; non-straight topology has support first
285	stairs-east-top-inner_left-waterlogged-false	stairs-state	162	100	228	2	all 80 legal targets; non-straight topology has support first
286	stairs-east-top-inner_left-waterlogged-true	stairs-state	166	100	228	2	all 80 legal targets; non-straight topology has support first
287	stairs-east-top-inner_right-waterlogged-false	stairs-state	170	100	228	2	all 80 legal targets; non-straight topology has support first
288	stairs-east-top-inner_right-waterlogged-true	stairs-state	174	100	228	2	all 80 legal targets; non-straight topology has support first
289	stairs-east-top-outer_left-waterlogged-false	stairs-state	178	100	228	2	all 80 legal targets; non-straight topology has support first
290	stairs-east-top-outer_left-waterlogged-true	stairs-state	182	100	228	2	all 80 legal targets; non-straight topology has support first
291	stairs-east-top-outer_right-waterlogged-false	stairs-state	186	100	228	2	all 80 legal targets; non-straight topology has support first
292	stairs-east-top-outer_right-waterlogged-true	stairs-state	190	100	228	2	all 80 legal targets; non-straight topology has support first
293	stairs-east-top-straight-waterlogged-false	stairs-state	194	100	228	1	all 80 legal targets; non-straight topology has support first
294	stairs-east-top-straight-waterlogged-true	stairs-state	198	100	228	1	all 80 legal targets; non-straight topology has support first
295	stairs-north-bottom-inner_left-waterlogged-false	stairs-state	162	100	232	2	all 80 legal targets; non-straight topology has support first
296	stairs-north-bottom-inner_left-waterlogged-true	stairs-state	166	100	232	2	all 80 legal targets; non-straight topology has support first
297	stairs-north-bottom-inner_right-waterlogged-false	stairs-state	170	100	232	2	all 80 legal targets; non-straight topology has support first
298	stairs-north-bottom-inner_right-waterlogged-true	stairs-state	174	100	232	2	all 80 legal targets; non-straight topology has support first
299	stairs-north-bottom-outer_left-waterlogged-false	stairs-state	178	100	232	2	all 80 legal targets; non-straight topology has support first
300	stairs-north-bottom-outer_left-waterlogged-true	stairs-state	182	100	232	2	all 80 legal targets; non-straight topology has support first
301	stairs-north-bottom-outer_right-waterlogged-false	stairs-state	186	100	232	2	all 80 legal targets; non-straight topology has support first
302	stairs-north-bottom-outer_right-waterlogged-true	stairs-state	190	100	232	2	all 80 legal targets; non-straight topology has support first
303	stairs-north-bottom-straight-waterlogged-false	stairs-state	194	100	232	1	all 80 legal targets; non-straight topology has support first
304	stairs-north-bottom-straight-waterlogged-true	stairs-state	198	100	232	1	all 80 legal targets; non-straight topology has support first
305	stairs-north-top-inner_left-waterlogged-false	stairs-state	162	100	236	2	all 80 legal targets; non-straight topology has support first
306	stairs-north-top-inner_left-waterlogged-true	stairs-state	166	100	236	2	all 80 legal targets; non-straight topology has support first
307	stairs-north-top-inner_right-waterlogged-false	stairs-state	170	100	236	2	all 80 legal targets; non-straight topology has support first
308	stairs-north-top-inner_right-waterlogged-true	stairs-state	174	100	236	2	all 80 legal targets; non-straight topology has support first
309	stairs-north-top-outer_left-waterlogged-false	stairs-state	178	100	236	2	all 80 legal targets; non-straight topology has support first
310	stairs-north-top-outer_left-waterlogged-true	stairs-state	182	100	236	2	all 80 legal targets; non-straight topology has support first
311	stairs-north-top-outer_right-waterlogged-false	stairs-state	186	100	236	2	all 80 legal targets; non-straight topology has support first
312	stairs-north-top-outer_right-waterlogged-true	stairs-state	190	100	236	2	all 80 legal targets; non-straight topology has support first
313	stairs-north-top-straight-waterlogged-false	stairs-state	194	100	236	1	all 80 legal targets; non-straight topology has support first
314	stairs-north-top-straight-waterlogged-true	stairs-state	198	100	236	1	all 80 legal targets; non-straight topology has support first
315	stairs-south-bottom-inner_left-waterlogged-false	stairs-state	162	100	240	2	all 80 legal targets; non-straight topology has support first
316	stairs-south-bottom-inner_left-waterlogged-true	stairs-state	166	100	240	2	all 80 legal targets; non-straight topology has support first
317	stairs-south-bottom-inner_right-waterlogged-false	stairs-state	170	100	240	2	all 80 legal targets; non-straight topology has support first
318	stairs-south-bottom-inner_right-waterlogged-true	stairs-state	174	100	240	2	all 80 legal targets; non-straight topology has support first
319	stairs-south-bottom-outer_left-waterlogged-false	stairs-state	178	100	240	2	all 80 legal targets; non-straight topology has support first
320	stairs-south-bottom-outer_left-waterlogged-true	stairs-state	182	100	240	2	all 80 legal targets; non-straight topology has support first
321	stairs-south-bottom-outer_right-waterlogged-false	stairs-state	186	100	240	2	all 80 legal targets; non-straight topology has support first
322	stairs-south-bottom-outer_right-waterlogged-true	stairs-state	190	100	240	2	all 80 legal targets; non-straight topology has support first
323	stairs-south-bottom-straight-waterlogged-false	stairs-state	194	100	240	1	all 80 legal targets; non-straight topology has support first
324	stairs-south-bottom-straight-waterlogged-true	stairs-state	198	100	240	1	all 80 legal targets; non-straight topology has support first
325	stairs-south-top-inner_left-waterlogged-false	stairs-state	162	100	244	2	all 80 legal targets; non-straight topology has support first
326	stairs-south-top-inner_left-waterlogged-true	stairs-state	166	100	244	2	all 80 legal targets; non-straight topology has support first
327	stairs-south-top-inner_right-waterlogged-false	stairs-state	170	100	244	2	all 80 legal targets; non-straight topology has support first
328	stairs-south-top-inner_right-waterlogged-true	stairs-state	174	100	244	2	all 80 legal targets; non-straight topology has support first
329	stairs-south-top-outer_left-waterlogged-false	stairs-state	178	100	244	2	all 80 legal targets; non-straight topology has support first
330	stairs-south-top-outer_left-waterlogged-true	stairs-state	182	100	244	2	all 80 legal targets; non-straight topology has support first
331	stairs-south-top-outer_right-waterlogged-false	stairs-state	186	100	244	2	all 80 legal targets; non-straight topology has support first
332	stairs-south-top-outer_right-waterlogged-true	stairs-state	190	100	244	2	all 80 legal targets; non-straight topology has support first
333	stairs-south-top-straight-waterlogged-false	stairs-state	194	100	244	1	all 80 legal targets; non-straight topology has support first
334	stairs-south-top-straight-waterlogged-true	stairs-state	198	100	244	1	all 80 legal targets; non-straight topology has support first
335	stairs-west-bottom-inner_left-waterlogged-false	stairs-state	162	100	248	2	all 80 legal targets; non-straight topology has support first
336	stairs-west-bottom-inner_left-waterlogged-true	stairs-state	166	100	248	2	all 80 legal targets; non-straight topology has support first
337	stairs-west-bottom-inner_right-waterlogged-false	stairs-state	170	100	248	2	all 80 legal targets; non-straight topology has support first
338	stairs-west-bottom-inner_right-waterlogged-true	stairs-state	174	100	248	2	all 80 legal targets; non-straight topology has support first
339	stairs-west-bottom-outer_left-waterlogged-false	stairs-state	178	100	248	2	all 80 legal targets; non-straight topology has support first
340	stairs-west-bottom-outer_left-waterlogged-true	stairs-state	182	100	248	2	all 80 legal targets; non-straight topology has support first
341	stairs-west-bottom-outer_right-waterlogged-false	stairs-state	186	100	248	2	all 80 legal targets; non-straight topology has support first
342	stairs-west-bottom-outer_right-waterlogged-true	stairs-state	190	100	248	2	all 80 legal targets; non-straight topology has support first
343	stairs-west-bottom-straight-waterlogged-false	stairs-state	194	100	248	1	all 80 legal targets; non-straight topology has support first
344	stairs-west-bottom-straight-waterlogged-true	stairs-state	198	100	248	1	all 80 legal targets; non-straight topology has support first
345	stairs-west-top-inner_left-waterlogged-false	stairs-state	162	100	252	2	all 80 legal targets; non-straight topology has support first
346	stairs-west-top-inner_left-waterlogged-true	stairs-state	166	100	252	2	all 80 legal targets; non-straight topology has support first
347	stairs-west-top-inner_right-waterlogged-false	stairs-state	170	100	252	2	all 80 legal targets; non-straight topology has support first
348	stairs-west-top-inner_right-waterlogged-true	stairs-state	174	100	252	2	all 80 legal targets; non-straight topology has support first
349	stairs-west-top-outer_left-waterlogged-false	stairs-state	178	100	252	2	all 80 legal targets; non-straight topology has support first
350	stairs-west-top-outer_left-waterlogged-true	stairs-state	182	100	252	2	all 80 legal targets; non-straight topology has support first
351	stairs-west-top-outer_right-waterlogged-false	stairs-state	186	100	252	2	all 80 legal targets; non-straight topology has support first
352	stairs-west-top-outer_right-waterlogged-true	stairs-state	190	100	252	2	all 80 legal targets; non-straight topology has support first
353	stairs-west-top-straight-waterlogged-false	stairs-state	194	100	252	1	all 80 legal targets; non-straight topology has support first
354	stairs-west-top-straight-waterlogged-true	stairs-state	198	100	252	1	all 80 legal targets; non-straight topology has support first
355	axis-pair-acacia-covered-x	axis-pair	220	100	162	2	connected route beside the same-sheet forced-tile0 route
356	axis-pair-acacia-covered-y	axis-pair	224	100	162	2	connected route beside the same-sheet forced-tile0 route
357	axis-pair-acacia-covered-z	axis-pair	228	100	162	2	connected route beside the same-sheet forced-tile0 route
358	axis-pair-birch-diagonal-x	axis-pair	220	100	165	2	connected route beside the same-sheet forced-tile0 route
359	axis-pair-birch-diagonal-y	axis-pair	224	100	165	2	connected route beside the same-sheet forced-tile0 route
360	axis-pair-birch-diagonal-z	axis-pair	228	100	165	2	connected route beside the same-sheet forced-tile0 route
361	axis-pair-crimson-large-x	axis-pair	220	100	168	2	connected route beside the same-sheet forced-tile0 route
362	axis-pair-crimson-large-y	axis-pair	224	100	168	2	connected route beside the same-sheet forced-tile0 route
363	axis-pair-crimson-large-z	axis-pair	228	100	168	2	connected route beside the same-sheet forced-tile0 route
364	axis-pair-dark_oak-panes-x	axis-pair	220	100	171	2	connected route beside the same-sheet forced-tile0 route
365	axis-pair-dark_oak-panes-y	axis-pair	224	100	171	2	connected route beside the same-sheet forced-tile0 route
366	axis-pair-dark_oak-panes-z	axis-pair	228	100	171	2	connected route beside the same-sheet forced-tile0 route
367	axis-pair-jungle-rounded-x	axis-pair	220	100	174	2	connected route beside the same-sheet forced-tile0 route
368	axis-pair-jungle-rounded-y	axis-pair	224	100	174	2	connected route beside the same-sheet forced-tile0 route
369	axis-pair-jungle-rounded-z	axis-pair	228	100	174	2	connected route beside the same-sheet forced-tile0 route
370	axis-pair-mangrove-slim-x	axis-pair	220	100	177	2	connected route beside the same-sheet forced-tile0 route
371	axis-pair-mangrove-slim-y	axis-pair	224	100	177	2	connected route beside the same-sheet forced-tile0 route
372	axis-pair-mangrove-slim-z	axis-pair	228	100	177	2	connected route beside the same-sheet forced-tile0 route
373	axis-pair-oak-swirling-x	axis-pair	220	100	180	2	connected route beside the same-sheet forced-tile0 route
374	axis-pair-oak-swirling-y	axis-pair	224	100	180	2	connected route beside the same-sheet forced-tile0 route
375	axis-pair-oak-swirling-z	axis-pair	228	100	180	2	connected route beside the same-sheet forced-tile0 route
376	axis-pair-spruce-tiles-x	axis-pair	220	100	183	2	connected route beside the same-sheet forced-tile0 route
377	axis-pair-spruce-tiles-y	axis-pair	224	100	183	2	connected route beside the same-sheet forced-tile0 route
378	axis-pair-spruce-tiles-z	axis-pair	228	100	183	2	connected route beside the same-sheet forced-tile0 route
379	axis-pair-warped-bars-x	axis-pair	220	100	186	2	connected route beside the same-sheet forced-tile0 route
380	axis-pair-warped-bars-y	axis-pair	224	100	186	2	connected route beside the same-sheet forced-tile0 route
381	axis-pair-warped-bars-z	axis-pair	228	100	186	2	connected route beside the same-sheet forced-tile0 route
382	axis-x-same-state-continuity	axis-topology	238	100	174	2	same-state x-axis continuity
383	axis-y-same-state-continuity	axis-topology	244	100	174	2	same-state y-axis continuity
384	axis-z-same-state-continuity	axis-topology	250	100	174	2	same-state z-axis continuity
385	axis-state-mismatch	axis-topology	238	100	180	3	adjacent x/y/z states must not satisfy is_same_state
386	axis-cross-material-layout	axis-topology	244	100	180	2	different material/layout IDs are deliberate non-connections
387	axis-connected-versus-forced-tile0	axis-topology	250	100	180	2	same sheet but distinct route ownership; ordinary block stays tile 0
388	cube-top-slab	shape-topology	238	100	190	2	top slab participates in the cube top-face predicate
389	cube-bottom-slab-control	shape-topology	242	100	190	2	bottom slab is the complementary top-face non-connection control
390	cube-double-slab	shape-topology	246	100	190	2	double slab participates as a full block
391	cube-stair	shape-topology	250	100	190	2	same-family stair participates in cross-shape connectivity
392	top-slab-pair	shape-topology	238	100	194	2	same-state top slab continuity
393	bottom-slab-pair	shape-topology	242	100	194	2	same-state bottom slab continuity
394	straight-stair-pair	shape-topology	246	100	194	2	same-family straight stair continuity
395	cross-sheet-control	shape-topology	250	100	194	2	different texture sheets are a deliberate non-connection
396	forced-disconnected-adjacent-same-id-simple	forced-disconnected-adjacency	238	100	200	2	adjacent same-ID ordinary SIMPLE routes both remain tile 0
397	forced-disconnected-adjacent-same-id-full	forced-disconnected-adjacency	244	100	200	2	adjacent same-ID ordinary FULL routes both remain tile 0
398	mechanical-chisel-down-axis-false-flipped-false	mechanical-chisel	220	100	198	1	neutral empty shaft; vertical facings include the visible chisel tool
399	mechanical-chisel-down-axis-false-flipped-true	mechanical-chisel	224	100	198	1	neutral empty shaft; vertical facings include the visible chisel tool
400	mechanical-chisel-down-axis-true-flipped-false	mechanical-chisel	228	100	198	1	neutral empty shaft; vertical facings include the visible chisel tool
401	mechanical-chisel-down-axis-true-flipped-true	mechanical-chisel	232	100	198	1	neutral empty shaft; vertical facings include the visible chisel tool
402	mechanical-chisel-up-axis-false-flipped-false	mechanical-chisel	220	100	202	1	neutral empty shaft; vertical facings include the visible chisel tool
403	mechanical-chisel-up-axis-false-flipped-true	mechanical-chisel	224	100	202	1	neutral empty shaft; vertical facings include the visible chisel tool
404	mechanical-chisel-up-axis-true-flipped-false	mechanical-chisel	228	100	202	1	neutral empty shaft; vertical facings include the visible chisel tool
405	mechanical-chisel-up-axis-true-flipped-true	mechanical-chisel	232	100	202	1	neutral empty shaft; vertical facings include the visible chisel tool
406	mechanical-chisel-north-axis-false-flipped-false	mechanical-chisel	220	100	206	1	neutral empty shaft; vertical facings include the visible chisel tool
407	mechanical-chisel-north-axis-false-flipped-true	mechanical-chisel	224	100	206	1	neutral empty shaft; vertical facings include the visible chisel tool
408	mechanical-chisel-north-axis-true-flipped-false	mechanical-chisel	228	100	206	1	neutral empty shaft; vertical facings include the visible chisel tool
409	mechanical-chisel-north-axis-true-flipped-true	mechanical-chisel	232	100	206	1	neutral empty shaft; vertical facings include the visible chisel tool
410	mechanical-chisel-south-axis-false-flipped-false	mechanical-chisel	220	100	210	1	neutral empty shaft; vertical facings include the visible chisel tool
411	mechanical-chisel-south-axis-false-flipped-true	mechanical-chisel	224	100	210	1	neutral empty shaft; vertical facings include the visible chisel tool
412	mechanical-chisel-south-axis-true-flipped-false	mechanical-chisel	228	100	210	1	neutral empty shaft; vertical facings include the visible chisel tool
413	mechanical-chisel-south-axis-true-flipped-true	mechanical-chisel	232	100	210	1	neutral empty shaft; vertical facings include the visible chisel tool
414	mechanical-chisel-west-axis-false-flipped-false	mechanical-chisel	220	100	214	1	neutral empty shaft; vertical facings include the visible chisel tool
415	mechanical-chisel-west-axis-false-flipped-true	mechanical-chisel	224	100	214	1	neutral empty shaft; vertical facings include the visible chisel tool
416	mechanical-chisel-west-axis-true-flipped-false	mechanical-chisel	228	100	214	1	neutral empty shaft; vertical facings include the visible chisel tool
417	mechanical-chisel-west-axis-true-flipped-true	mechanical-chisel	232	100	214	1	neutral empty shaft; vertical facings include the visible chisel tool
418	mechanical-chisel-east-axis-false-flipped-false	mechanical-chisel	220	100	218	1	neutral empty shaft; vertical facings include the visible chisel tool
419	mechanical-chisel-east-axis-false-flipped-true	mechanical-chisel	224	100	218	1	neutral empty shaft; vertical facings include the visible chisel tool
420	mechanical-chisel-east-axis-true-flipped-false	mechanical-chisel	228	100	218	1	neutral empty shaft; vertical facings include the visible chisel tool
421	mechanical-chisel-east-axis-true-flipped-true	mechanical-chisel	232	100	218	1	neutral empty shaft; vertical facings include the visible chisel tool
422	ownership-parent-rechiseled	ownership-control	252	100	198	1	parent Rechiseled add-on ownership/fallback control
423	ownership-parent-create	ownership-control	252	100	202	1	parent Create add-on ownership/fallback control
424	ownership-vanilla	ownership-control	252	100	206	1	untouched vanilla stock renderer control
